



22.95	21.79	7.625	1.775	2.928	12.328
243.1616162	22.15151515	8.669191919	1.772727273	3.081818182	13.52373737
250.08	19.59	7.875	1.7	1.829	11.404
1497.04	0	7.684375	1.6	1.509	10.793375

27.59	12.25	3.225	4.9125	20.3875
601.2626263	29.33333333	13.74494949	3.254040404	6.477272727	23.47626263
558.1	2740	12.625	3.1505	3.7275	19.503
5348.25	0	12.32625	2.85	0.73	15.90625

48.17	33.17	17.5	4.525	7.545	29.57
1505.61	35.7	19.055	4.696	9.8505	33.6015
1042.64	32.56	18.005	4.55025	6.7875	29.34275
15600	0	17.57	4.1	0.9225	22.5925

60.6122449	52.71428571	21.4375	6.85	13.37142857	41.65892857
1299.82	53.78	23.4125	6.9335	14.308	44.654
1631.68	52.56	20.3825	6.609	13.56	40.5515
43691.36735	0	20.39158163	6	9.730612245	36.12219388

69.5625	56.27083333	23.4375	7.375	14.1875	45
1975.244898	57.36734694	26.35969388	7.385714286	15.94897959	49.69438776
2149.979592	55.04081633	22.75	7.003061224	13.87755102	43.63061224
73927.39583	0	22.640625	6.35	7.770833333	36.76145833

76.08510638	56.65957447	25.875	7.0625	12.12340426	45.06090426
2647.9375	58.58333333	28.32291667	7.340104167	13.15833333	48.82135417
2803.14	53.08	24.74875	6.808	9.912	41.46875
106932.8696	0	24.74592391	6.225	5.352173913	36.32309783




