385;27;13.375;3.3;4.5;21.175
375;34;13.8125;3.25;11.25;28.3125
728;37;14;3.25;16;33.25
524;26;13.5625;3.3;2.25;19.1125
659;32;13.5;3.3;7.5;24.3
748;30;14.4375;3.15;7.25;24.8375
820;28;13.6875;3.25;5.25;22.1875
1118;30;13.625;3.3;7.75;24.675
1174;31;13.8125;3.25;8.5;25.5625
632;34;14;3.275;10.75;28.025
583;24;13.5625;3.275;2.25;19.0875
860;33;13.5;3.3;9;25.8
629;32;13.6875;3.25;8.25;25.1875
588;31;13.8125;3.225;8.5;25.5375
769;31;13.375;3.3;4.75;21.425
792;27;13.6875;3.25;5;21.9375
813;33;14;3.225;9;26.225
665;33;14.0625;3.25;11.5;28.8125
562;32;13.75;3.275;8.75;25.775
602;26;13.5625;3.275;0.75;17.5875
689;33;13.5625;3.275;5.75;22.5875
463;30;13.9375;3.225;6.75;23.9125
415;36;13.75;3.275;14.75;31.775
509;30;13.375;3.3;7.25;23.925
758;24;13.5625;3.275;2.25;19.0875
521;30;13.6875;3.3;6.75;23.7375
517;31;14.6875;3.05;9;26.7375
702;28;13.8125;3.2;5.25;22.2625
776;26;14;3.2;3.75;20.95
527;29;13.625;3.275;6;22.9
526;28;13.6875;3.275;5.25;22.2125
430;31;13.6875;3.25;7.5;24.4375
570;32;14.25;3.15;9.25;26.65
716;26;13.375;3.325;3.75;20.45
454;26;13.9375;3.225;3.75;20.9125
485;33;13.6875;3.25;11.5;28.4375
531;32;13.75;3.25;8.25;25.25
605;30;13.8125;3.225;7.75;24.7875
699;25;13.375;3.325;3;19.7
791;37;13.625;3.3;12;28.925
513;27;13.5625;3.275;4.5;21.3375
523;26;13.375;3.3;3.75;20.425
586;35;14;3.225;14;31.225
1053;25;13.8125;3.175;1.5;18.4875
445;24;13.6875;3.3;2.25;19.2375
610;32;14.5625;3.1;9.75;27.4125
576;33;13.75;3.25;11.5;28.5
396;30;13.375;3.3;7.25;23.925
466;24;13.5625;3.275;2.25;19.0875
681;34;14.75;3.15;11.25;29.15
653;25;13.5625;3.275;3;19.8375
523;32;14;3.175;8.25;25.425
424;27;13.125;3.325;2;18.45
860;32;13.9375;3.25;10.25;27.4375
556;27;14.125;3.225;4.5;21.85
509;31;14;3.275;5.5;22.775
403;26;13.5625;3.275;3.75;20.5875
668;24;13.6875;3.275;2.25;19.2125
476;34;14.0625;3.25;10.25;27.5625
454;40;14.625;3.125;17.75;35.5
531;32;13.8125;3.25;7.5;24.5625
805;26;14.3125;3.15;3.75;21.2125
471;27;13.8125;3.225;1.25;18.2875
399;24;13.5;3.275;1.5;18.275
541;26;14.1875;3.15;3.75;21.0875
784;33;14.8125;3.1;11;28.9125
643;26;13.625;3.275;3.75;20.65
407;33;13.5625;3.275;11.5;28.3375
639;29;13.375;3.325;6.5;23.2
635;28;13.5;3.275;1.75;18.525
592;33;13.375;3.325;11;27.7
391;34;13.6875;3.225;9.75;26.6625
651;24;13.5625;3.275;2.25;19.0875
654;24;13.5625;3.275;2.25;19.0875
463;35;13.625;3.25;12.5;29.375
386;35;13.8125;3.225;10.5;27.5375
710;26;13.5;3.275;3.75;20.525
663;28;13.6875;3.275;5.25;22.2125
392;25;13.5625;3.275;3;19.8375
452;24;13.375;3.3;2.25;18.925
704;26;13.5;3.35;3.75;20.6
489;29;13.5625;3.3;6.5;23.3625
427;36;13.375;3.325;9.5;26.2
722;30;13.5;3.325;7.25;24.075
614;26;13.5625;3.275;3.75;20.5875
433;27;13.8125;3.225;4.5;21.5375
489;27;13.375;3.325;4.5;21.2
723;27;13.875;3.25;3.5;20.625
667;30;14.125;3.2;6.5;23.825
489;26;13.5625;3.275;3.75;20.5875
1007;29;13.375;3.3;6;22.675
538;24;13.6875;3.25;2.25;19.1875
405;24;13.5625;3.3;2.25;19.1125
464;26;14;3.175;3.75;20.925
757;29;13.9375;3.2;6.5;23.6375
603;38;13.9375;3.2;13.75;30.8875
478;31;13.6875;3.275;8;24.9625
564;26;13.375;3.325;3.75;20.45
658;25;13.5625;3.275;3;19.8375
601.2626263;29.33333333;13.74494949;3.254040404;6.477272727;23.47626263
