---0;0.6249999999999999;5;5
---1;0.6249999999999999;5;5
---2;0.6249999999999999;5;5
---3;1.2916666666666665;5;5
---4;0.6249999999999999;5;5
---5;3.0416666666666665;5;4
---6;1.625;5;5
---7;1.5416666666666665;5;4
---8;5.125;5;5
---9;11.541666666666666;5;4
---10;1.625;5;5
---11;1.5416666666666665;5;4
---12;7.708333333333334;5;3
---13;1.5416666666666665;5;4
---14;7.625;5;5
---15;0.6249999999999999;5;5
---16;1.5416666666666665;5;4
---17;1.625;5;5
---18;1.5416666666666665;5;4
---19;1.625;5;5
---20;8.541666666666666;5;4
---21;1.625;5;5
---22;1.5416666666666665;5;4
---23;0.5416666666666666;5;4
---24;1.625;5;5
---25;1.5416666666666665;5;4
---26;1.5416666666666665;4;4
---27;11.875;4;5
---28;1.5416666666666665;4;4
---29;1.5416666666666665;5;4
---30;6.041666666666667;5;4
---31;1.625;5;5
---32;16.791666666666668;5;4
---33;1.5416666666666665;4;4
---34;1.5416666666666665;5;4
---35;1.5;4;4
---36;1.4583333333333335;3;4
---37;0.45833333333333337;3;4
---38;8.25;4;4
---39;15.208333333333334;3;4
---40;1.5416666666666665;3;5
---41;1.4583333333333335;3;4
---42;1.5416666666666665;3;5
---43;1.4583333333333335;3;4
---44;0.45833333333333337;3;4
---45;8.625;3;3
---46;0.37500000000000006;3;3
---47;7.625;3;3
---48;1.4166666666666667;4;3
---49;13.916666666666666;4;3
---50;1.4583333333333335;5;3
---51;1.4166666666666667;4;3
---52;1.4583333333333335;5;3
---53;1.4166666666666667;4;3
---54;0.41666666666666674;4;3
---55;0.41666666666666674;4;3
---56;1.5;4;4
---57;1.5416666666666665;5;4
---58;21.458333333333332;5;3
---59;0.4583333333333334;5;3
---60;1.5416666666666665;5;4
---61;1.4583333333333335;5;3
---62;0.4583333333333334;5;3
---63;1.5416666666666665;5;4
---64;0.5416666666666666;5;4
---65;1.4583333333333335;5;3
---66;0.4583333333333334;5;3
---67;1.4166666666666667;4;3
---68;13.25;4;4
---69;1.4166666666666667;4;3
---70;1.4583333333333335;5;3
---71;1.5416666666666665;5;4
---72;0.5416666666666666;5;4
---73;1.5;4;4
---74;1.4583333333333335;3;4
---75;7.25;4;4
---76;1.5416666666666665;5;4
---77;7.25;4;4
---78;1.5416666666666665;5;4
---79;11.458333333333334;5;3
---80;1.5416666666666665;5;4
---81;1.4583333333333335;5;3
---82;1.4166666666666667;4;3
---83;0.41666666666666674;4;3
---84;11.0;4;4
---85;0.5;4;4
---86;1.4166666666666667;4;3
---87;0.41666666666666674;4;3
---88;1.375;3;3
---89;1.4166666666666667;4;3
---90;0.41666666666666674;4;3
---91;12.416666666666666;4;3
---92;1.375;3;3
---93;1.4583333333333335;3;4
---94;1.5416666666666665;3;5
---95;0.5416666666666666;3;5
---96;4.958333333333334;3;4
---97;0.45833333333333337;3;4
---98;1.5;4;4
---99;18.208333333333332;3;4
---100;1.5416666666666665;3;5
---101;0.5416666666666666;3;5
---102;1.4583333333333335;3;4
